index,label,seconds,word_count,score,score_pct,error
1,Part 1 Q1,37.9,1241,3.5,,
2,Part 1 Q2,33.88,1241,4.0,,
3,Part 1 Q3,35.69,1241,4.0,,
4,Part 2 Q1,36.16,2076,4.0,,
5,Part 2 Q2,73.46,2076,0.0,,Model returned too few items for weaknesses in Part 2 Q2: ['No specific weaknesses identified in this response based on the provided criteria.']
6,Part 2 Q3,41.02,2076,6.0,,
7,Part 2 Q4,35.66,2076,3.0,,
8,Part 2 Q5,39.96,2076,3.0,,
9,Part 2 Q6,61.04,2076,7.0,,
10,Part 3 Q1,36.8,1767,6.5,,
11,Part 3 Q2,45.53,1767,7.5,,
12,Part 3 Q3,63.23,1767,6.0,,
13,Part 3 Q4,38.79,1767,5.0,,
14,Part 4,34.54,811,13.0,,
