stage,seconds,detail
extract_submission_text,2.67,"scoring_words=5895, structure_words=5895"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,40.44,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,37.9,1/14 Part 1 Q1
part_analysis_model,33.88,2/14 Part 1 Q2
part_analysis_model,35.69,3/14 Part 1 Q3
part_analysis_model,36.16,4/14 Part 2 Q1
part_analysis_error,73.46,5/14 Part 2 Q2: ValueError
part_analysis_model,41.02,6/14 Part 2 Q3
part_analysis_model,35.66,7/14 Part 2 Q4
part_analysis_model,39.96,8/14 Part 2 Q5
part_analysis_model,61.04,9/14 Part 2 Q6
part_analysis_model,36.8,10/14 Part 3 Q1
part_analysis_model,45.53,11/14 Part 3 Q2
part_analysis_model,63.23,12/14 Part 3 Q3
part_analysis_model,38.79,13/14 Part 3 Q4
part_analysis_model,34.54,14/14 Part 4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:80.00; part 3=wide_score_spread:33.33
build_local_final_result,0.0,
