stage,seconds,detail
extract_submission_text,2.23,"scoring_words=6326, structure_words=6326"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,79.23,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,76.83,1/14 Part 1 Q1
part_analysis_model,35.01,2/14 Part 1 Q2
part_analysis_model,50.26,3/14 Part 1 Q3
part_analysis_error,48.02,4/14 Part 2 Q1: ValueError
part_analysis_error,49.76,5/14 Part 2 Q2: ValueError
part_analysis_error,50.33,6/14 Part 2 Q3: ValueError
part_analysis_error,51.14,7/14 Part 2 Q4: ValueError
part_analysis_error,50.24,8/14 Part 2 Q5: ValueError
part_analysis_error,50.54,9/14 Part 2 Q6: ValueError
part_analysis_model,43.63,10/14 Part 3 Q1
part_analysis_model,41.12,11/14 Part 3 Q2
part_analysis_model,38.03,12/14 Part 3 Q3
part_analysis_model,36.55,13/14 Part 3 Q4
part_analysis_model,38.05,14/14 Part 4
moderate_linked_part_analyses,47.51,part 2=eligible; part 3=wide_score_spread:33.33
build_local_final_result,0.0,
