stage,seconds,detail
extract_submission_text,5.86,"scoring_words=3850, structure_words=3841"
detect_submission_parts,0.0,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.0,segmented_parts=4
refine_submission_granularity,138.2,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,98.82,1/14 Part 1 Q1
part_analysis_model,91.31,2/14 Part 1 Q2
part_analysis_model,108.83,3/14 Part 1 Q3
part_analysis_model,83.35,4/14 Part 4
part_analysis_model,112.68,5/14 Part 2 Q1
part_analysis_model,88.36,6/14 Part 2 Q2
part_analysis_model,91.75,7/14 Part 2 Q3
part_analysis_model,87.67,8/14 Part 2 Q4
part_analysis_model,71.99,9/14 Part 2 Q5
part_analysis_model,81.74,10/14 Part 2 Q6
part_analysis_model,74.32,11/14 Part 3 Q1
part_analysis_model,103.66,12/14 Part 3 Q2
part_analysis_model,87.76,13/14 Part 3 Q3
part_analysis_model,160.52,14/14 Part 3 Q4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:75.00; part 3=wide_score_spread:33.34
build_local_final_result,0.0,
