stage,seconds,detail
extract_submission_text,5.23,"scoring_words=3835, structure_words=3530"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,0.03,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,35.3,1/14 Part 1 Q1
part_analysis_model,84.37,2/14 Part 1 Q2
part_analysis_model,90.43,3/14 Part 1 Q3
part_analysis_model,86.98,4/14 Part 2 Q1
part_analysis_model,199.32,5/14 Part 2 Q2
part_analysis_model,108.13,6/14 Part 2 Q3
part_analysis_model,89.09,7/14 Part 2 Q4
part_analysis_model,87.72,8/14 Part 2 Q5
part_analysis_model,91.47,9/14 Part 2 Q6
part_analysis_model,73.25,10/14 Part 3 Q1
part_analysis_model,80.67,11/14 Part 3 Q2
part_analysis_model,158.96,12/14 Part 3 Q3
part_analysis_model,106.97,13/14 Part 3 Q4
part_analysis_model,99.13,14/14 Part 4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:60.00; part 3=wide_score_spread:26.67
build_local_final_result,0.0,
