stage,seconds,detail
extract_submission_text,0.06,"scoring_words=3863, structure_words=3799"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,26.56,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,29.06,1/14 Part 1 Q1
part_analysis_model,25.15,2/14 Part 1 Q2
part_analysis_model,25.37,3/14 Part 1 Q3
part_analysis_model,26.13,4/14 Part 2 Q1
part_analysis_model,32.19,5/14 Part 2 Q2
part_analysis_model,40.22,6/14 Part 2 Q3
part_analysis_model,30.67,7/14 Part 2 Q4
part_analysis_model,31.9,8/14 Part 2 Q5
part_analysis_model,24.76,9/14 Part 2 Q6
part_analysis_model,26.05,10/14 Part 3 Q1
part_analysis_model,35.65,11/14 Part 3 Q2
part_analysis_model,28.58,12/14 Part 3 Q3
part_analysis_model,25.08,13/14 Part 3 Q4
part_analysis_model,25.93,14/14 Part 4
moderate_linked_part_analyses,27.15,part 2=wide_score_spread:20.00; part 3=eligible
build_local_final_result,0.0,
