stage,seconds,detail
extract_submission_text,2.82,"scoring_words=6068, structure_words=6068"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,0.01,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,25.28,1/14 Part 1 Q1
part_analysis_model,29.18,2/14 Part 1 Q2
part_analysis_model,33.39,3/14 Part 1 Q3
part_analysis_model,25.23,4/14 Part 2 Q1
part_analysis_model,32.0,5/14 Part 2 Q2
part_analysis_model,28.44,6/14 Part 2 Q3
part_analysis_model,30.36,7/14 Part 2 Q4
part_analysis_model,33.24,8/14 Part 2 Q5
part_analysis_model,29.14,9/14 Part 2 Q6
part_analysis_model,31.33,10/14 Part 3 Q1
part_analysis_model,34.78,11/14 Part 3 Q2
part_analysis_model,28.54,12/14 Part 3 Q3
part_analysis_model,34.26,13/14 Part 3 Q4
part_analysis_model,34.01,14/14 Part 4
moderate_linked_part_analyses,26.6,part 2=wide_score_spread:29.33; part 3=eligible
build_local_final_result,0.0,
