stage,seconds,detail
extract_submission_text,0.03,"scoring_words=3494, structure_words=3444"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=3
refine_submission_granularity,27.95,refined_parts=13
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=13
part_analysis_model,33.82,1/13 Part 1 Q1
part_analysis_model,27.85,2/13 Part 1 Q2
part_analysis_model,32.7,3/13 Part 1 Q3
part_analysis_model,27.76,4/13 Part 2 Q1
part_analysis_model,29.65,5/13 Part 2 Q2
part_analysis_model,35.62,6/13 Part 2 Q3
part_analysis_model,27.12,7/13 Part 2 Q4
part_analysis_model,37.6,8/13 Part 2 Q5
part_analysis_model,27.48,9/13 Part 2 Q6
part_analysis_model,20.95,10/13 Part 3 Q1
part_analysis_model,26.28,11/13 Part 3 Q2
part_analysis_model,22.98,12/13 Part 3 Q3
part_analysis_model,21.93,13/13 Part 3 Q4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:35.00; part 3=wide_score_spread:26.67
build_local_final_result,0.0,
