stage,seconds,detail
extract_submission_text,2.52,"scoring_words=6326, structure_words=6326"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.02,segmented_parts=4
refine_submission_granularity,17.11,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,30.2,1/14 Part 1 Q1
part_analysis_model,27.16,2/14 Part 1 Q2
part_analysis_model,33.57,3/14 Part 1 Q3
part_analysis_error,34.66,4/14 Part 2 Q1: ValueError
part_analysis_error,35.2,5/14 Part 2 Q2: ValueError
part_analysis_error,34.67,6/14 Part 2 Q3: ValueError
part_analysis_error,34.83,7/14 Part 2 Q4: ValueError
part_analysis_error,35.08,8/14 Part 2 Q5: ValueError
part_analysis_error,34.9,9/14 Part 2 Q6: ValueError
part_analysis_model,32.66,10/14 Part 3 Q1
part_analysis_model,30.04,11/14 Part 3 Q2
part_analysis_model,27.65,12/14 Part 3 Q3
part_analysis_model,26.21,13/14 Part 3 Q4
part_analysis_model,28.79,14/14 Part 4
moderate_linked_part_analyses,31.97,part 2=eligible; part 3=wide_score_spread:33.33
build_local_final_result,0.0,
