stage,seconds,detail
extract_submission_text,3.33,"scoring_words=6737, structure_words=6737"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,0.02,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,26.9,1/14 Part 1 Q1
part_analysis_model,43.07,2/14 Part 1 Q2
part_analysis_model,41.76,3/14 Part 1 Q3
part_analysis_model,26.54,4/14 Part 2 Q1
part_analysis_model,33.44,5/14 Part 2 Q2
part_analysis_model,34.2,6/14 Part 2 Q3
part_analysis_model,31.41,7/14 Part 2 Q4
part_analysis_model,31.41,8/14 Part 2 Q5
part_analysis_model,30.63,9/14 Part 2 Q6
part_analysis_model,33.0,10/14 Part 3 Q1
part_analysis_model,48.08,11/14 Part 3 Q2
part_analysis_model,30.99,12/14 Part 3 Q3
part_analysis_model,31.18,13/14 Part 3 Q4
part_analysis_model,29.39,14/14 Part 4
moderate_linked_part_analyses,26.38,part 2=wide_score_spread:21.67; part 3=eligible
build_local_final_result,0.0,
