stage,seconds,detail
extract_submission_text,1.18,"scoring_words=2861, structure_words=2861"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,16.2,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,31.73,1/14 Part 1 Q1
part_analysis_model,28.31,2/14 Part 1 Q2
part_analysis_model,28.76,3/14 Part 1 Q3
part_analysis_model,25.25,4/14 Part 2 Q1
part_analysis_model,32.62,5/14 Part 2 Q2
part_analysis_model,30.29,6/14 Part 2 Q3
part_analysis_model,27.96,7/14 Part 2 Q4
part_analysis_model,32.22,8/14 Part 2 Q5
part_analysis_model,27.73,9/14 Part 2 Q6
part_analysis_model,23.13,10/14 Part 3 Q1
part_analysis_model,26.11,11/14 Part 3 Q2
part_analysis_model,27.01,12/14 Part 3 Q3
part_analysis_model,30.31,13/14 Part 3 Q4
part_analysis_model,27.23,14/14 Part 4
moderate_linked_part_analyses,40.15,part 2=eligible; part 3=wide_score_spread:66.67
build_local_final_result,0.0,
