stage,seconds,detail
extract_submission_text,0.09,"scoring_words=4354, structure_words=4441"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,0.02,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,23.68,1/14 Part 1 Q1
part_analysis_model,28.89,2/14 Part 1 Q2
part_analysis_model,25.85,3/14 Part 1 Q3
part_analysis_model,22.4,4/14 Part 2 Q1
part_analysis_model,22.51,5/14 Part 2 Q2
part_analysis_model,24.63,6/14 Part 2 Q3
part_analysis_model,22.79,7/14 Part 2 Q4
part_analysis_model,30.0,8/14 Part 2 Q5
part_analysis_model,25.69,9/14 Part 2 Q6
part_analysis_model,22.33,10/14 Part 3 Q1
part_analysis_model,28.37,11/14 Part 3 Q2
part_analysis_model,49.42,12/14 Part 3 Q3
part_analysis_model,24.99,13/14 Part 3 Q4
part_analysis_model,24.12,14/14 Part 4
moderate_linked_part_analyses,24.62,part 2=wide_score_spread:30.00; part 3=eligible
build_local_final_result,0.0,
