stage,seconds,detail
extract_submission_text,0.9,"scoring_words=2713, structure_words=2713"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,0.01,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,26.93,1/14 Part 1 Q1
part_analysis_model,34.19,2/14 Part 1 Q2
part_analysis_model,25.98,3/14 Part 1 Q3
part_analysis_model,27.47,4/14 Part 2 Q1
part_analysis_model,27.08,5/14 Part 2 Q2
part_analysis_model,40.61,6/14 Part 2 Q3
part_analysis_model,26.6,7/14 Part 2 Q4
part_analysis_model,35.46,8/14 Part 2 Q5
part_analysis_model,29.57,9/14 Part 2 Q6
part_analysis_model,23.19,10/14 Part 3 Q1
part_analysis_model,35.3,11/14 Part 3 Q2
part_analysis_model,37.11,12/14 Part 3 Q3
part_analysis_model,26.95,13/14 Part 3 Q4
part_analysis_model,29.7,14/14 Part 4
moderate_linked_part_analyses,29.51,part 2=wide_score_spread:40.00; part 3=eligible
build_local_final_result,0.0,
