stage,seconds,detail
extract_submission_text,0.17,"scoring_words=4224, structure_words=4250"
detect_submission_parts,0.02,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.02,segmented_parts=4
refine_submission_granularity,16.12,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,56.4,1/14 Part 1 Q1
part_analysis_model,59.7,2/14 Part 1 Q2
part_analysis_model,57.51,3/14 Part 1 Q3
part_analysis_model,63.66,4/14 Part 2 Q1
part_analysis_model,74.07,5/14 Part 2 Q2
part_analysis_model,59.14,6/14 Part 2 Q3
part_analysis_model,50.36,7/14 Part 2 Q4
part_analysis_model,60.59,8/14 Part 2 Q5
part_analysis_model,27.19,9/14 Part 2 Q6
part_analysis_model,23.04,10/14 Part 3 Q1
part_analysis_model,26.18,11/14 Part 3 Q2
part_analysis_model,31.49,12/14 Part 3 Q3
part_analysis_model,26.73,13/14 Part 3 Q4
part_analysis_model,32.72,14/14 Part 4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:55.00; part 3=wide_score_spread:66.67
build_local_final_result,0.0,
