stage,seconds,detail
extract_submission_text,2.09,"scoring_words=4606, structure_words=4606"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,30.86,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,45.04,1/14 Part 1 Q1
part_analysis_model,41.76,2/14 Part 1 Q2
part_analysis_model,42.81,3/14 Part 1 Q3
part_analysis_model,37.19,4/14 Part 2 Q1
part_analysis_model,42.67,5/14 Part 2 Q2
part_analysis_model,42.86,6/14 Part 2 Q3
part_analysis_model,34.79,7/14 Part 2 Q4
part_analysis_model,43.72,8/14 Part 2 Q5
part_analysis_model,36.12,9/14 Part 2 Q6
part_analysis_model,37.64,10/14 Part 3 Q1
part_analysis_model,36.07,11/14 Part 3 Q2
part_analysis_model,33.17,12/14 Part 3 Q3
part_analysis_model,33.74,13/14 Part 3 Q4
part_analysis_model,33.67,14/14 Part 4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:20.00; part 3=wide_score_spread:33.33
build_local_final_result,0.0,
