stage,seconds,detail
extract_submission_text,2.68,"scoring_words=5562, structure_words=5562"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,25.39,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,28.74,1/14 Part 1 Q1
part_analysis_model,40.99,2/14 Part 1 Q2
part_analysis_model,35.47,3/14 Part 1 Q3
part_analysis_error,35.2,4/14 Part 2 Q1: ValueError
part_analysis_error,42.22,5/14 Part 2 Q2: ValueError
part_analysis_error,17.01,6/14 Part 2 Q3: ValueError
part_analysis_error,19.92,7/14 Part 2 Q4: ValueError
part_analysis_error,38.38,8/14 Part 2 Q5: ValueError
part_analysis_error,33.23,9/14 Part 2 Q6: ValueError
part_analysis_model,28.8,10/14 Part 3 Q1
part_analysis_model,42.25,11/14 Part 3 Q2
part_analysis_model,33.72,12/14 Part 3 Q3
part_analysis_model,24.61,13/14 Part 3 Q4
part_analysis_model,24.67,14/14 Part 4
moderate_linked_part_analyses,28.92,part 2=eligible; part 3=wide_score_spread:33.33
build_local_final_result,0.0,
