stage,seconds,detail
extract_submission_text,1.38,"scoring_words=3835, structure_words=3835"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,0.01,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,28.91,1/14 Part 1 Q1
part_analysis_model,25.75,2/14 Part 1 Q2
part_analysis_model,26.98,3/14 Part 1 Q3
part_analysis_model,24.22,4/14 Part 2 Q1
part_analysis_model,30.74,5/14 Part 2 Q2
part_analysis_model,32.55,6/14 Part 2 Q3
part_analysis_model,21.3,7/14 Part 2 Q4
part_analysis_model,25.32,8/14 Part 2 Q5
part_analysis_model,25.24,9/14 Part 2 Q6
part_analysis_model,21.61,10/14 Part 3 Q1
part_analysis_model,21.57,11/14 Part 3 Q2
part_analysis_model,20.15,12/14 Part 3 Q3
part_analysis_model,21.91,13/14 Part 3 Q4
part_analysis_model,23.48,14/14 Part 4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:40.00; part 3=wide_score_spread:40.00
build_local_final_result,0.0,
